AbilityID,DisplayName,Description,UICategory,Icon,StatusEffectIcon,Sound,TelegraphStatusEffect,TelegraphCountOffset,OnEquipStatusEffect,WeaponTag,RequiredAbilityId,TreeId,TreeRowPosition,TreeColumnPosition,IsActiveAbility,IsGlobalAbility,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingSpirit,ScalingConstitution,OnKill,OnExecuted,OnHit,OnBlockedHit,OnCrit,OnHeadShot,OnLegShot,OnHitTaken,OnBlockBreak,OnTargetBlockBreak,OnDeath,OnDeathsDoor,OnHitTakenWhileInvulnerable,RequireReaction,NumSuccessfulHits,NumConsecutiveHits,MaxConsecutiveHits,ResetConsecutiveOnSuccess,TrackHitCount,MaxTrackedHitCounts,NumberOfTrackedHits,NumberOfHitsComparisonType,DamageIsRanged,DamageIsMelee,ForceShowNameTag,TargetHasGritActive,DamageTableRow,RemoteDamageTableRow,RangedAttackName,AttackType,DamageTypes,StatusEffect,StatusEffectCategories,TargetStatusEffect,TargetStatusEffectCategory,TargetStatusEffectStackSize,TargetStatusEffectComparison,TargetCollisionFilters,TargetMarker,MyHealthPercent,MyComparisonType,MyStaminaPercent,MyStaminaComparisonType,TargetHealthPercent,TargetComparisonType,DistFromDefender,DistComparisonType,NumAroundMe,NumAroundComparisonType,AbilityList,AbilityTrigger,InAction,InActionTime,AfterAction,BaseDamage,BaseDamageReduction,BlockDamage,BlockDamageReduction,CritDamage,CritChance,HeadshotDamage,stagger damage,StaggerDamageReduction,HitRateDmg,HitRateDmgReduction,HealthDamageMitigation,ThreatDamage,ArmorPenetration,PhysicalArmor,ElementalArmor,LinearlyScaleToDistance,Knockback,WeaponAccuracy,Health,DmgPctToHealth,MaxHealth,Mana,MaxMana,DamageTableRowOverride,StatusEffectDamageTableRowOverride,RangedAttackNameOverride,DamageTableStatusEffectOverride,EnableCrit,PerStatusEffectOnTarget,DisableScalePerTargetSEStack,ForceTakeStaminaDamage,CastSpell,SelfApplyStatusEffect,OtherApplyStatusEffect,SetPotencyAsCount,MultiplyRemovedByPotency,RemoveStatusEffects,StatusEffectsList,StatusEffectCategoriesList,RemoveTargetStatusEffectsList,ConsumeTargetStatusEffectMult,StatusEffectDurationReduction,TargetStatusEffectDurationList,TargetStatusEffectDurationMod,ActivationCooldown,Duration,CooldownId,CDRImmediatelyOptions,ResetCooldownTimers,CooldownTimer,NumFreeCooldownsPerUse,MaxHitCountMultiplier,SetMannequinTag,SetMannequinTagStatus
Ability_Rapier_Slash,@Rapier_01,@Rapier_01_description,Melee Damage,lyshineui/images/icons/abilities/Rapier_Ability1_Slash.png,,Play_UI_WeaponSkills_Rapier_Ability_1,,,,Rapier,,0,0,0,true,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,1H_Rapier_Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1H_Rapier_Slash_Bleed,,,,,,,,,,,,,,,,,,,,,,Ability_Rapier_Slash,,,,,,,
Rapier_Slash_Mod1,@Rapier_01_Mod1,@Rapier_01_Mod1_description,Melee Damage,lyshineui/images/icons/abilities/Rapier_Ability1Mod1_Pressure.png,,,,,,Rapier,Ability_Rapier_Slash,0,2,0,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0,0,0,,false,0,,,,,,,1H_Rapier_Slash,,,,,,,Rapier_Bleed_DOT,,,NotEqual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Rapier_Slash,AbilitySpecific,,-0.1,,,,
Rapier_Slash_Mod2,@Rapier_01_Mod2,@Rapier_01_Mod2_description,Melee Damage,lyshineui/images/icons/abilities/Rapier_Ability1Mod2_CompoundAttack.png,,,,,,Rapier,Rapier_Slash_Mod1,0,3,0,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,true,0,1,Equal,,,,,"1H_Rapier_Slash,1H_Rapier_Slash_Bleed",,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Rapier_Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Ability_Rapier_Slash,AbilitySpecific,,-0.25,,1,,
Rapier_Slash_Mod3,@Rapier_01_Mod3,@Rapier_01_Mod3_description,Melee Damage,lyshineui/images/icons/abilities/Rapier_EvasionPass2_ControlledBreathing.png,,,,,,Rapier,Rapier_Slash_Mod2,0,4,0,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,1H_Rapier_Slash,,,,,,,,,,,,,,,,,,,4,GreaterThanOrEqual,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability_Rapier_Flurry,@Rapier_02,@Rapier_02_description,Melee Damage,lyshineui/images/icons/abilities/Rapier_Ability2_Flurry.png,,Play_UI_WeaponSkills_Rapier_Ability_3,,,,Rapier,,0,0,4,true,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Rapier_Flurry,,,,,,,
Rapier_Flurry_All_In,@Rapier_02_Mod2,@Rapier_02_Mod2_description,Melee Damage,lyshineui/images/icons/abilities/Rapier_Ability2Mod2_All_In.png,,,,,,Rapier,Ability_Rapier_Flurry,0,1,4,false,false,,,,,,false,false,false,true,false,false,false,false,false,false,false,false,false,,0,0,0,true,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Rapier_Flurry,0.1,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapier_Flurry_Weakness,@Rapier_02_Mod3,@Rapier_02_Mod3_description,Melee Damage,lyshineui/images/icons/abilities/Rapier_Ability2Mod3_ContinuedWeakness.png,,,,,,Rapier,Rapier_Flurry_Haste,0,3,4,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,0,0,0,true,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Rapier_Flurry,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapier_Bleed_DOT,1,,,,,,,,,,
Rapier_Flurry_Haste,@Rapier_02_Mod1,@Rapier_02_Mod1_description,Melee Damage,lyshineui/images/icons/abilities/Rapier_Ability2Mod1_HastyFlurry.png,,,,,,Rapier,Rapier_Flurry_All_In,0,2,4,false,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0,0,0,true,false,0,,,,,,,"1H_Rapier_Flurry_Strike_1,1H_Rapier_Flurry_Strike_2,1H_Rapier_Flurry_Strike_3,1H_Rapier_Flurry_Strike_4,1H_Rapier_Flurry_Strike_5,1H_Rapier_Flurry_Strike_5_Mod4,1H_Rapier_Flurry_Mod1_Strike_1,1H_Rapier_Flurry_Mod1_Strike_2,1H_Rapier_Flurry_Mod1_Strike_3,1H_Rapier_Flurry_Mod2_Strike_1,1H_Rapier_Flurry_Mod2_Strike_2,1H_Rapier_Flurry_Mod2_Strike_3,1H_Rapier_Flurry_Mod3_Strike_1,1H_Rapier_Flurry_Mod3_Strike_2,1H_Rapier_Flurry_Mod3_Strike_3",,,,,,,,,,,,,,,,,,,,,,,,,Ability_Rapier_Flurry,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ability_Rapier_Flurry,AbilitySpecific,,-0.07,,,,
Rapier_Flurry_Mod4,@Rapier_02_Mod4,@Rapier_02_Mod4_description,Melee Damage,lyshineui/images/icons/abilities/Rapier_EvasionPass4_ArtOfBattle.png,,,,,,Rapier,Rapier_Flurry_Weakness,0,4,4,false,false,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability_Rapier_Flourish,@Rapier_03,@Rapier_03_description,Melee Damage,lyshineui/images/icons/abilities/Rapier_Ability3_Flourish.png,,Play_UI_WeaponSkills_Rapier_Ability_2,,,,Rapier,,0,1,2,true,false,,,,,,false,false,true,false,false,false,false,false,false,false,false,false,false,,0,0,0,,false,0,,,,,,,1H_Rapier_Finish,,,,,,,Rapier_Bleed_DOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapier_Flourish_Debuff,,,,,,Rapier_Bleed_DOT,1.1,,,,,,Ability_Rapier_Flourish,,,,,,,
